ITEMA,ACTIVO,REFLEXIVO,TEORICO,PRAGMATICO
1,0,0,0,1
2,0,0,1,0
3,1,0,0,0
4,0,0,1,0
5,1,0,0,0
6,0,0,1,0
7,1,0,0,0
8,0,0,0,1
9,1,0,0,0
10,0,1,0,0
11,0,0,1,0
12,0,0,0,1
13,1,0,0,0
14,0,0,0,1
15,0,0,1,0
16,0,1,0,0
17,0,0,1,0
18,0,1,0,0
19,0,1,0,0
20,1,0,0,0
21,0,0,1,0
22,0,0,0,1
23,0,0,1,0
24,0,0,0,1
25,0,0,1,0
26,1,0,0,0
27,1,0,0,0
28,0,1,0,0
29,0,0,1,0
30,0,0,0,1
31,0,1,0,0
32,0,1,0,0
33,0,0,1,0
34,0,1,0,0
35,1,0,0,0
36,0,1,0,0
37,1,0,0,0
38,0,0,0,1
39,0,1,0,0
40,0,0,0,1
41,1,0,0,0
42,0,1,0,0
43,1,0,0,0
44,0,1,0,0
45,0,0,1,0
46,1,0,0,0
47,0,0,0,1
48,1,0,0,0
49,0,1,0,0
50,0,0,1,0
51,1,0,0,0
52,0,0,0,1
53,0,0,0,1
54,0,0,1,0
55,0,1,0,0
56,0,0,0,1
57,0,0,0,1
58,0,1,0,0
59,0,0,0,1
60,0,0,1,0
61,1,0,0,0
62,0,0,0,1
63,0,1,0,0
64,0,0,1,0
65,0,1,0,0
66,0,0,1,0
67,1,0,0,0
68,0,0,0,1
69,0,1,0,0
70,0,1,0,0
71,0,0,1,0
72,0,0,0,1
73,0,0,0,1
74,1,0,0,0
75,1,0,0,0
76,0,0,0,1
77,1,0,0,0
78,0,0,1,0
79,0,1,0,0
80,0,0,1,0
